TIME_PERIOD,REF_AREA,High_Pay,Low_Pay
1999,OECD,23.1188015259298,16.668363374332
1999,POL,,17.534355880544
1999,USA,,24.4525024071456
2000,AUS,,16.3548195076221
2000,BEL,11.6011601160116,
2000,CAN,20.4231113826294,23.250933612223
2000,CHL,29.7594805249616,18.5323141991954
2000,DEU,16.0928364208373,15.6492063492311
2000,GBR,,20.8471912021485
2000,HUN,,23.41
2000,JPN,,14.5672018123413
2000,KOR,,24.5837366993823
2000,NZL,,11.7385590214536
2000,OECD,23.0698224891541,16.6946063793417
2000,USA,,24.7018604697118
2001,AUS,,15.5377691303996
2001,BEL,11.001100110011,
2001,CAN,20.1478086766028,22.0236714127944
2001,CZE,,17.4444417121084
2001,DEU,15.9279308715239,16.410454111574
2001,FIN,15.8565105735796,4.60413920379647
2001,GBR,,21.1187196102232
2001,HUN,,21.74
2001,ISR,28.8304806319943,25.3091393347377
2001,JPN,,14.5607890780324
2001,KOR,,24.2372232423956
2001,NZL,,12.2291286288944
2001,OECD,22.7521980687161,16.2207465190907
2001,POL,,19.3696857550439
2001,USA,,23.7717735550277
2002,AUS,,15.1283188803772
2002,BEL,10.6989301069893,
2002,CAN,19.7413003303652,22.382220241102
2002,CZE,,18.3923204731658
2002,DEU,16.0032383443646,17.3299578020333
2002,DNK,2.0916445103726,7.36122849771702
2002,ESP,25.9996782535847,13.3333333333333
2002,EST,25.9996112592691,24.297052154195
2002,FIN,15.9578155661919,7.28614371650907
2002,FRA,20.9999420054514,7.21568627450979
2002,GBR,,20.9352310784224
2002,GRC,26.999120750293,12.3333333333333
2002,HUN,,21.67
2002,IRL,25.999688080787,16.4615384615384
2002,ISL,24.9986753386284,7.38572775856649
2002,ISR,28.4404270345023,23.8951810096726
2002,ITA,17.9992955365193,5.66666666666666
2002,JPN,,14.4346853436161
2002,KOR,,24.4750127375079
2002,LTU,28.9996322294826,25.6666666666666
2002,LUX,21.9980255095093,11.7555555555555
2002,LVA,34.999981408212,29.1664247701983
2002,NLD,21.9995270583026,9.54700854700854
2002,NZL,,13.6298254816871
2002,OECD,22.7141488154435,16.1864651174606
2002,POL,,20.80018113449
2002,PRT,25.999958305537,17.3333333333333
2002,SVK,,17.0051015304591
2002,SVN,22.9997858746437,19.8588195841716
2002,USA,,23.4952038369305
2003,AUS,,14.920193356645
2003,BEL,12.4,
2003,CAN,20.4082809217653,22.0068583129789
2003,CHL,30.8030491900184,14.3915803624641
