TIME_PERIOD,REF_AREA,GDP,GDP_Growth_Rate
1984,GBR,655.7276612764,2.26910515299726
1984,GRC,103.366108236764,2.01058040291761
1984,IRL,30.9049647606051,4.35437251321247
1984,ISL,3.85212099125319,4.12911822800853
1984,ISR,47.0258403081606,0.933213700583789
1984,ITA,732.127658104166,3.2258523786438
1984,JPN,1531.54236612261,4.4108801535633
1984,KOR,166.898807338001,10.5516403549853
1984,LUX,6.44133451995031,6.18693927535072
1984,MEX,488.150280562324,3.59957354480385
1984,NLD,196.804991958937,3.06167903418298
1984,NOR,56.6310010469223,6.05238136645432
1984,NZL,39.9960522786767,4.79300917789494
1984,PRT,72.0778361055832,-1.87997958429478
1984,SWE,126.187230865455,4.2295352472417
1984,TUR,277.778946628574,6.71178399497663
1984,USA,4037.613,7.23645316716272
1985,AUS,229.157473678345,3.96573209130946
